loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,spatial_mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,spatial_margin_px,spatial_edge_calib,spatial_inner_calib,spatial_calib_mean,spatial_preserve_edge_mean,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,spatial_mask_margin_px,spatial_mask_margin_min_px,spatial_mask_margin_max_px,spatial_mask_edge_init,spatial_mask_inner_init,lambda_spatial_anchor,lambda_spatial_budget,lambda_spatial_tv,lambda_spatial_source_bg_edge,lambda_spatial_source_fg_inner,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spatial_reg_loss,spatial_anchor_loss,spatial_budget_loss,spatial_tv_loss,spatial_source_reg_loss,spatial_source_bg_edge_loss,spatial_source_fg_inner_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4982421398162842,0.5028409957885742,0.5004895925521851,0.49874693|0.502841|0.50234002|0.49824214|0.50161785|0.50130326|0.49980077|0.49902463,15.06738567352295,0.019842136651277542,0.9801242351531982,0.8481350541114807,0.10452845692634583,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,1,1.2921528259913126,1.265814216931661,0.5236950357755025,0.00015386041486635803,3.6701127183643343e-09,1.1264340457728395e-06,2.3239946097911948e-06,1.2334745330614774e-06,6.896412135877957e-07,0.0003497774654533714,0.00021423052433722963,0.001256332096333305,0.00015316710438734543,0.015313261436919372,3.449169222828156e-05,0.0,0.0,0.0,0.0,0.0,1.1746513485908507,1.8092688957850138,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4954253137111664,0.5058092474937439,0.5000098943710327,0.4973433|0.50580925|0.5039919|0.49542531|0.50276977|0.49903625|0.49688932|0.49881408,15.158523559570312,0.01960808038711548,0.9802146553993225,0.8474664688110352,0.10482040792703629,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,2,0.9444318532943725,0.9234625816345214,0.416354900598526,0.00015153903902197878,2.761578101010779e-08,6.574935241587809e-06,1.7020165281185957e-05,9.938121153633499e-06,7.154901027206506e-07,0.0003569787271165599,0.00023357929409636806,0.001249320626569291,0.0001507959347994377,0.01507614968965451,3.444183736670917e-05,0.0,0.0,0.0,0.0,0.0,0.8805920680363973,0.7968631466229756,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.49264585971832275,0.5090594291687012,0.4994717538356781,0.49591151|0.50905943|0.50512797|0.49264586|0.50321293|0.49709493|0.49449965|0.4982219,15.252633094787598,0.019371110945940018,0.9803300499916077,0.8467945456504822,0.10511764883995056,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,3,0.852745799223582,0.8320525089899699,0.4108816881974538,0.00014920623604363452,8.05623424563843e-08,1.9302707854270315e-05,4.970740216473738e-05,2.892466654884629e-05,7.491145917507917e-07,0.00037040797372659047,0.0002544900227803737,0.0012421657176067433,0.00014837656053714454,0.014834219155212243,3.4371859510429206e-05,0.0,0.0,0.0,0.0,0.0,0.7996471325556437,0.5838541428248087,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.49044278264045715,0.5121024250984192,0.4992428719997406,0.49311814|0.51210243|0.50720805|0.49044278|0.50421077|0.4950425|0.49285674|0.49896148,15.34826374053955,0.019129622727632523,0.9804216623306274,0.8460886478424072,0.1054174080491066,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,4,0.7908698002497355,0.7727226773897807,0.3600047657887141,0.00014687873287281641,1.6449179440769512e-07,3.9365537668345495e-05,0.0001009069339488633,5.964829809575652e-05,7.904316021267733e-07,0.00039030153032702705,0.00027664434358788036,0.0012348570084820191,0.0001459238100020836,0.014588952499131362,3.4285216679563745e-05,0.0,0.0,0.0,0.0,0.0,0.7417678833007812,0.5700134535630544,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4879801571369171,0.5158628821372986,0.49888876080513,0.4894881|0.51586288|0.50976521|0.48798016|0.50514752|0.49264428|0.49126241|0.49895951,15.447724342346191,0.018881194293498993,0.9805352687835693,0.8453701734542847,0.10572503507137299,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,5,0.706609837214152,0.6989743789037068,0.14981740862131118,0.00014460225550768277,3.030216589650081e-07,7.191384308195363e-05,0.0001847968155440564,0.00011103344392419483,8.418330367021554e-07,0.0004181393228160838,0.0003009511448908597,0.0012274253104502955,0.0001434574000692616,0.014342313259840011,3.426871371630114e-05,0.0,0.0,0.0,0.0,0.0,0.6650226553281148,0.6261494914690654,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4855501353740692,0.5194866061210632,0.49831971526145935,0.48555014|0.51948661|0.51280081|0.48562306|0.50459409|0.48939717|0.48917353|0.49993229,15.55037784576416,0.01861719600856304,0.980526328086853,0.8445187211036682,0.10604352504014969,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,6,0.6551997105280558,0.649488914012909,0.11136934806903204,0.0001423257403075695,5.065511345492269e-07,0.00012054407804195459,0.00030623038959068556,0.00018826630742599566,9.058344024500305e-07,0.0004554766792959223,0.00032839204068295657,0.0012196564426024755,0.00014091335469856858,0.0140878955523173,3.440408084619169e-05,0.0,0.0,0.0,0.0,0.0,0.6110098242759705,0.6530000885327657,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.48338302969932556,0.5221167206764221,0.49799644947052,0.48338303|0.52211672|0.51584685|0.48392636|0.50392753|0.48766735|0.48836601|0.49873778,15.638463973999023,0.018400248140096664,0.9805658459663391,0.8438305854797363,0.10631156712770462,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,7,0.5816455761591593,0.5783066670099895,0.06397461419304212,0.0001401760964654386,7.031577297311742e-07,0.00017303969361819326,0.00042558071048309407,0.00026027301404004294,9.793012471466985e-07,0.0005003314930945635,0.0003577594606516262,0.0012121025628099838,0.0001384936379812037,0.01384588840107123,3.475898047327064e-05,0.0,0.0,0.0,0.0,0.0,0.5464881857236227,0.5923967321713766,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4815825819969177,0.5240015387535095,0.49765220284461975,0.48158258|0.52400154|0.51849842|0.48328769|0.50275677|0.48635983|0.48746836|0.49726236,15.728179931640625,0.01817885972559452,0.9805716872215271,0.8431001901626587,0.10658293217420578,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,8,0.5212540884812673,0.5194440682729086,0.033434600258866944,0.00013828457061511776,8.358564097458536e-07,0.00021608458288634817,0.000509135549267133,0.00030511235430215794,1.0502914847165811e-06,0.0005452957741605739,0.00038444208718525866,0.0012055356443549197,0.00013639842024228225,0.01363634162892898,3.500708395828648e-05,0.0,0.0,0.0,0.0,0.0,0.48760547836621604,0.575521711508433,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.48075664043426514,0.5254835486412048,0.4975854754447937,0.48075664|0.52548355|0.52043349|0.48320165|0.5019716|0.48554391|0.48692781|0.4963651,15.816843032836914,0.01796684041619301,0.9806130528450012,0.8424103260040283,0.10684671998023987,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,9,0.47753002444903053,0.47599268158276875,0.028020681565006575,0.00013630013078606376,9.264935480738738e-07,0.00025010236131493,0.0005654543948670228,0.00033602887803378206,1.1306480852605696e-06,0.0005976729172592362,0.0004131016476700703,0.0011987344672282536,0.00013424298764827351,0.013420770193139713,3.5287249556859027e-05,0.0,0.0,0.0,0.0,0.0,0.4465435167153676,0.5451114674409231,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.48011016845703125,0.5269015431404114,0.4975772798061371,0.48011017|0.52690154|0.52176642|0.48309487|0.50150692|0.48475724|0.4872874|0.49519375,15.909910202026367,0.017752356827259064,0.980659544467926,0.8416908383369446,0.10711988061666489,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,10,0.4354818304379781,0.4341862082481384,0.023225591517984867,0.000134338007774204,9.967298259046706e-07,0.00027576914289966225,0.0006091505521908403,0.00036000232600296535,1.2166352689746418e-06,0.0006552007631398738,0.0004422307402516405,0.0011920371170466145,0.0001321246420654158,0.013208908587694168,3.5559452468684566e-05,0.0,0.0,0.0,0.0,0.0,0.40654953519503273,0.5036956409613291,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.47965237498283386,0.5286146998405457,0.4975590705871582,0.47965237|0.5286147|0.52305496|0.48304033|0.50166339|0.48343167|0.48701164|0.49400371,16.00278091430664,0.01756637915968895,0.9807407259941101,0.8410077691078186,0.10738561302423477,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,11,0.4131411135196686,0.41166130900382997,0.026948711648583413,0.00013236925393963854,1.0649681371432963e-06,0.0002997582758932064,0.0006508011448507508,0.00038419110933318734,1.3098608709090816e-06,0.0007191454370816549,0.00047218973049893974,0.0011852563514063756,0.00012999442600024244,0.012995864761372407,3.57826212469566e-05,0.0,0.0,0.0,0.0,0.0,0.38237199385960896,0.5462125261624654,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4791892170906067,0.5299368500709534,0.4973706901073456,0.47918922|0.52993685|0.52480441|0.48236516|0.50114721|0.482162|0.48680246|0.49255815,16.102800369262695,0.017361601814627647,0.9807888269424438,0.8402377367019653,0.10767031461000443,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,12,0.3760977745056152,0.3750174641609192,0.018998162200053532,0.00013040245976299049,1.157654014605214e-06,0.00033319049010363717,0.000710278342012316,0.000414056561809654,1.413085366645343e-06,0.0007912607475494345,0.000503991829464212,0.0011783271484697858,0.00012783172132913023,0.012779571240146954,3.60108931393673e-05,0.0,0.0,0.0,0.0,0.0,0.35055784781773885,0.45753468871116637,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4785224199295044,0.5318443775177002,0.497408926486969,0.47852242|0.53184438|0.52608484|0.48148999|0.50099766|0.48181194|0.48674393|0.49177641,16.21800422668457,0.017169088125228882,0.9808669090270996,0.8393751382827759,0.10798890143632889,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,13,0.3621153195699056,0.36108171542485556,0.01810720805078745,0.00012824177586783964,1.250063057038157e-06,0.00036527227299908794,0.0007694392348639667,0.000444096546076859,1.539099465238299e-06,0.0008803409019795557,0.0005417040199972689,0.0011705447143564621,0.00012545261318640163,0.012541623041033744,3.6386990298827486e-05,0.0,0.0,0.0,0.0,0.0,0.33070220549901325,0.47150949041048684,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.47765660285949707,0.5336276888847351,0.497559130191803,0.4776566|0.53362769|0.52804059|0.48119518|0.50059897|0.48083544|0.48701346|0.49150509,16.32376480102539,0.01696656085550785,0.9809456467628479,0.8385844230651855,0.10828030854463577,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,14,0.33653752207756044,0.33554532130559284,0.01732141791532437,0.00012612911911370853,1.3744299394602421e-06,0.00040080092342880866,0.0008453258817705015,0.000489023884680743,1.6749074954229096e-06,0.000977960469511648,0.0005806726946805914,0.0011627426836639642,0.00012307978079964717,0.01230430689950784,3.671444671150918e-05,0.0,0.0,0.0,0.0,0.0,0.31143168608347577,0.43223814765612284,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4763740003108978,0.5347880125045776,0.49760305881500244,0.476374|0.53478801|0.53003752|0.48141986|0.50078607|0.47956476|0.48741478|0.49043941,16.425479888916016,0.016761647537350655,0.980978786945343,0.8377860188484192,0.10855957865715027,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,15,0.31683990557988484,0.31590307553609215,0.016253229416906833,0.00012416225702812275,1.4797775520491996e-06,0.00043886207276955247,0.0009111149896246692,0.0005247762659564614,1.8135539221475483e-06,0.0010783838884284099,0.0006196268795368572,0.0011554305053626498,0.00012086892529623583,0.012083180124560992,3.712628749781288e-05,0.0,0.0,0.0,0.0,0.0,0.29192611972490945,0.42794620196024574,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.47575557231903076,0.5363503098487854,0.49745821952819824,0.47575557|0.53635031|0.53141314|0.4799557|0.50077718|0.47841662|0.4873856|0.48961174,16.524173736572266,0.016566315665841103,0.9810301065444946,0.8370277881622314,0.10882661491632462,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,16,0.29760228991508486,0.2965938131014506,0.017722185452779135,0.00012237179228880753,1.6272315482031748e-06,0.00048074679216369987,0.001003485646409293,0.0005756711199258765,1.955962670763256e-06,0.0011819196088860432,0.0006591952871531249,0.0011484770802780986,0.00011878859707697605,0.011875101861854394,3.758134456196179e-05,0.0,0.0,0.0,0.0,0.0,0.27462214330832163,0.3776531676451365,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4752184748649597,0.5376616716384888,0.49718403816223145,0.47521847|0.53766167|0.53310335|0.47819242|0.50009227|0.47756192|0.48721236|0.48842981,16.630165100097656,0.01635722815990448,0.9810685515403748,0.8361997008323669,0.10911048203706741,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,17,0.28567320307095845,0.2847486734390259,0.016078344732522964,0.00012061453016940505,1.7677501621922906e-06,0.0005261395048970978,0.0010973060969263315,0.0006178300284470121,2.10486273317656e-06,0.0012914575481166443,0.0006992460034477214,0.0011415912847345074,0.00011674191676623499,0.011670388467609882,3.803531108133029e-05,0.0,0.0,0.0,0.0,0.0,0.2608592838048935,0.39297573566436766,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed0
