loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,spatial_mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,spatial_margin_px,spatial_edge_calib,spatial_inner_calib,spatial_calib_mean,spatial_preserve_edge_mean,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,spatial_mask_margin_px,spatial_mask_margin_min_px,spatial_mask_margin_max_px,spatial_mask_edge_init,spatial_mask_inner_init,lambda_spatial_anchor,lambda_spatial_budget,lambda_spatial_tv,lambda_spatial_source_bg_edge,lambda_spatial_source_fg_inner,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spatial_reg_loss,spatial_anchor_loss,spatial_budget_loss,spatial_tv_loss,spatial_source_reg_loss,spatial_source_bg_edge_loss,spatial_source_fg_inner_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4980393946170807,0.5012496709823608,0.4997643828392029,0.50010842|0.5001393|0.50124967|0.49803939|0.5008015|0.50082666|0.49884847|0.49810168,15.006417274475098,0.020021893084049225,0.9800688028335571,0.8485892415046692,0.10432891547679901,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,1,1.4552239312065973,1.428726977772183,0.5299248960283067,6.846882961831902e-07,1.884225022921429e-09,5.526314481585359e-07,1.3016161801715498e-06,5.27345609353031e-07,6.828040631666631e-07,0.0003485406664872749,0.00020841600134089176,0.0012584736363755332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3166773584153917,2.3247887425952487,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49703913927078247,0.5026737451553345,0.4996064007282257,0.49940526|0.50133955|0.50267375|0.4971886|0.50037086|0.50091022|0.49792403|0.49703914,15.023641586303711,0.020028242841362953,0.980155348777771,0.8485297560691833,0.10437718033790588,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,2,1.0657227370474074,1.0452490117814806,0.40946019026968217,6.923425214861506e-07,7.066714916940479e-09,2.3966964969683127e-06,5.221945230005076e-06,1.6050997828642721e-06,6.852758108127293e-07,0.0003479660792638444,0.00021163721652960198,0.0012567247289957271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9785840246412489,1.2452557351854112,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4958505928516388,0.5035703778266907,0.4995342791080475,0.49796778|0.50256109|0.50357038|0.49757829|0.50039148|0.50111121|0.49724343|0.49585059,15.024380683898926,0.02002791501581669,0.9801760911941528,0.848541796207428,0.10437878966331482,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,3,0.9035607841279771,0.8847494257820977,0.3762128882937961,6.982171561907712e-07,1.3409659062170299e-08,5.311202484234754e-06,9.76293439533846e-06,3.1156039565555857e-06,6.848074968325413e-07,0.0003469911882550352,0.00021220670896582305,0.0012560958146221107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8332962459988065,0.9586791594823202,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49576351046562195,0.5041986703872681,0.4997054934501648,0.49699727|0.50344586|0.50419867|0.49809611|0.50061136|0.50120354|0.49732751|0.49576351,15.025585174560547,0.020022014155983925,0.980201005935669,0.8485531210899353,0.1043822392821312,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,4,0.7825984822379218,0.7712933553589715,0.22608834173944262,7.035204955880342e-07,1.9651588208565347e-08,7.908126968282482e-06,1.3326366368144389e-05,5.534408147569694e-06,6.838689046162472e-07,0.000346388034005132,0.00021187128246917078,0.001256095491246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7253083984057108,0.8397739397154914,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4964235723018646,0.5047420859336853,0.49995481967926025,0.49642357|0.50398123|0.50474209|0.49816674|0.50090784|0.50130236|0.49764851|0.49646652,15.02869701385498,0.020024528726935387,0.9802274703979492,0.8485519886016846,0.1043904721736908,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,5,0.7064466145303514,0.6982619100146823,0.1636796643336614,7.080906938325724e-07,2.5190054486756708e-08,9.004476244930023e-06,1.6171155746431192e-05,8.118449992859192e-06,6.82900646451243e-07,0.00034567083801246353,0.00021162977079964348,0.0012560000436173545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6582494444317288,0.7401908967230055,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49578267335891724,0.505244791507721,0.5000696182250977,0.49578267|0.50426948|0.50524479|0.49816391|0.50072342|0.50138801|0.49815455|0.49682996,15.02966594696045,0.020031265914440155,0.9802364110946655,0.848552942276001,0.10439236462116241,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,6,0.6527800295088027,0.6461339195569357,0.13290773663255903,7.124074272724101e-07,2.993459879974125e-08,9.713530036808354e-06,1.8772061998283283e-05,1.0191182506484134e-05,6.824728302490257e-07,0.0003452449972327385,0.00021164614978867272,0.001255816702420513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6067473822169833,0.7223882145351834,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4947100877761841,0.50562983751297,0.5000433325767517,0.49471009|0.50429547|0.50562984|0.49833271|0.50028408|0.50142074|0.49839595|0.49727798,15.023886680603027,0.02003263309597969,0.9802064895629883,0.8485726118087769,0.10437586158514023,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,7,0.6090687645806206,0.6030314829614427,0.12073138025071886,7.177240617137512e-07,3.526668971668793e-08,1.094340536332715e-05,2.1614254769196526e-05,1.2558092748804484e-05,6.824573625231601e-07,0.00034540089675121836,0.00021146279242303636,0.0012559364937866728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5673362612724304,0.7014129161834717,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49372121691703796,0.5061512589454651,0.5000594258308411,0.49372122|0.50454736|0.50615126|0.49842307|0.49993914|0.50145727|0.49877194|0.497464,15.022746086120605,0.020047172904014587,0.980190098285675,0.8485695719718933,0.10437139868736267,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,8,0.5703325337833829,0.5654269125726488,0.09809806860155529,7.247414512474077e-07,4.176004056135854e-08,1.248727767233504e-05,2.4887180188670754e-05,1.5624130860992915e-05,6.829814146335088e-07,0.00034607106742138666,0.00021128616450975338,0.0012562415536700024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5310170451800028,0.6242969897058275,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49281370639801025,0.5063440799713135,0.49995145201683044,0.49281371|0.50463694|0.50634408|0.49816474|0.49965256|0.50166458|0.49882036|0.49751452,15.020583152770996,0.02004263736307621,0.9801542162895203,0.8485547304153442,0.10436653345823288,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,9,0.5310442248980204,0.5271752013100518,0.07736646715137693,7.33989401800904e-07,5.061437491349352e-08,1.4832663711988263e-05,2.9655145125515344e-05,1.9475961784741634e-05,6.833750300453781e-07,0.0003464533041955696,0.00021129368784992644,0.001256280151816706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4954773618115319,0.5816162957085503,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49236801266670227,0.5062751173973083,0.4998621344566345,0.49236801|0.50481355|0.50627512|0.49778235|0.49893066|0.50195754|0.49928138|0.49748871,15.012619018554688,0.020049886777997017,0.9801328182220459,0.8485997915267944,0.10434256494045258,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,10,0.4955156081252628,0.4919317364692688,0.07166263626681434,7.41828058734326e-07,5.7810057777866554e-08,1.6429953272260416e-05,3.3745805315750964e-05,2.2421254875047856e-05,6.840179985879836e-07,0.0003471465153981828,0.000211216273277791,0.0012565517875676353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4627276195420159,0.5395880473984612,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4913911521434784,0.5063835978507996,0.49966830015182495,0.49139115|0.50479078|0.5063836|0.49705851|0.4980934|0.5021168|0.49962905|0.49788332,15.007351875305176,0.020026439800858498,0.9800723195075989,0.848585307598114,0.1043311357498169,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,11,0.4708670973777771,0.46765027443567914,0.0643215278784434,7.484326387283444e-07,6.511756348951773e-08,1.803264866692997e-05,3.782013421490168e-05,2.5494159369069774e-05,6.833150791862863e-07,0.0003475290561457061,0.00021006061837801503,0.001257253927178681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4384815924697452,0.5349310338497162,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49019208550453186,0.5066800117492676,0.49942323565483093,0.49019209|0.50459999|0.50668001|0.49630731|0.49740607|0.50206864|0.49961525|0.49851644,15.002876281738281,0.0199839249253273,0.9799935817718506,0.8485468626022339,0.10432465374469757,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,12,0.4468410677380032,0.44349701205889386,0.06686572068267399,7.653277786327332e-07,7.901834446026139e-08,2.1625580605662737e-05,4.588670021298135e-05,3.096908140934021e-05,6.863094325934879e-07,0.00034943654706391197,0.00021112054754565988,0.001257523014727566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4178180264102088,0.48238423135545516,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.489658385515213,0.5068027973175049,0.49928295612335205,0.48965839|0.50456965|0.5068028|0.49577042|0.49682331|0.50173932|0.49978814|0.4991115,14.999459266662598,0.01998138055205345,0.9799511432647705,0.8485362529754639,0.10431598126888275,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,13,0.42533110247717965,0.4223323365052541,0.05995990460117658,7.785067800290967e-07,8.940176204280053e-08,2.4716146476243415e-05,5.205829034417143e-05,3.4871852322895495e-05,6.891050045649333e-07,0.0003512412076815963,0.000212089790794481,0.0012577396765765217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3976009918583764,0.46158576673931545,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4891096353530884,0.5068837404251099,0.499155730009079,0.48910964|0.50445253|0.50688374|0.49538249|0.49608988|0.50169694|0.50006372|0.49956694,14.997017860412598,0.01998274214565754,0.9799078702926636,0.848518431186676,0.10430985689163208,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,14,0.40566450357437134,0.40287819504737854,0.055710537566079035,7.867603054971065e-07,9.627266292808498e-08,2.687006740921384e-05,5.609060584295852e-05,3.7495046449799295e-05,6.904876386215619e-07,0.0003523343475535512,0.0002123599600357314,0.0012579330812311834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37922460834185284,0.44587522745132446,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4887273907661438,0.5069231986999512,0.49903833866119385,0.48872739|0.50425172|0.5069232|0.49474287|0.49574885|0.50145382|0.50044394|0.50001496,14.995677947998047,0.019981607794761658,0.979869544506073,0.8484956622123718,0.1043071448802948,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,15,0.3869578805234697,0.3843538595570458,0.052064294616381325,7.948849795664298e-07,1.0283052789519489e-07,2.9113951313775033e-05,6.0003845444751074e-05,3.9915282589693866e-05,6.920544390393641e-07,0.00035332828216875595,0.00021293303709373705,0.0012579309986904263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36179834935400224,0.4248027238580916,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.48840034008026123,0.5066947937011719,0.49875688552856445,0.48840034|0.50392205|0.50669479|0.4939979|0.49543685|0.50079632|0.50083321|0.49997371,14.99012279510498,0.019979404285550117,0.979810893535614,0.8484880924224854,0.10429251194000244,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,16,0.37175769607226056,0.3694274557961358,0.046588726341724396,7.988130050762265e-07,1.0463581013987601e-07,3.0633260798317176e-05,6.176731646216164e-05,3.980516258808267e-05,6.941771996733021e-07,0.0003548244195472863,0.0002135424696866216,0.0012581029053156574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34687894582748413,0.4243771996763017,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4882879853248596,0.5067864060401917,0.4985944926738739,0.48828799|0.50383359|0.50678641|0.49313414|0.49484333|0.50069088|0.50126272|0.49991703,14.987017631530762,0.01998462900519371,0.9797857999801636,0.8484916090965271,0.104283407330513,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,17,0.3552670379479726,0.35318707095252144,0.041583162628942065,8.05265156284602e-07,1.0965667643050539e-07,3.301497862493205e-05,6.5592561441008e-05,4.076261150961121e-05,6.956084853805401e-07,0.00035607901130182046,0.00021368940037468242,0.0012584006051636403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33186251918474835,0.4049777090549469,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4882780909538269,0.5069286227226257,0.4984578490257263,0.48827809|0.50345188|0.50692862|0.49232516|0.49426231|0.50068575|0.50182104|0.49991003,14.98253345489502,0.019993359223008156,0.9797634482383728,0.848508358001709,0.10426969081163406,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,1,18,0.3423402938577864,0.3405020634333293,0.03674852475523949,8.093003316389513e-07,1.1411764136129123e-07,3.5102656208133944e-05,6.975376325297273e-05,4.085360665663352e-05,6.951826902776601e-07,0.0003562204235802508,0.00021309792322831022,0.0012586432793695065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3179468843672011,0.41165978378719753,0.05,9,72|31|126,35,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot3\Seed1
